structBattleAnimationDynamicSpriteTable 0,BA_DynamicSprite_Index
BA_Cavalier_AxeKnt_Mount,BA_DynSprite_Cavalier_LncKnt_AxeKnt
BA_LanceKnight_Mount,BA_DynSprite_Cavalier_LncKnt_AxeKnt
BA_BowKnight_Mount,BA_DynSprite_BowKnight
BA_UnknownDynamic03,BA_DynSprite_SwordmasterM
BA_SwordKnight_Mount,BA_DynSprite_SwordKnight
BA_UnknownDynamic05,BA_DynSprite_SwordKnight
BA_Troubadour_Mount,BA_DynSprite_Troubadour
BA_LordKnight_Mount,BA_DynSprite_LordKnight_DukeKnight
BA_UnknownDynamic08,BA_DynSprite_LordKnight_DukeKnight
BA_DukeKnight_Mount,BA_DynSprite_LordKnight_DukeKnight
BA_UnknownDynamic0A,BA_DynSprite_Unknown12
BA_MasterKnight_NonBow_Mount,BA_DynSprite_Ranger_MasterKnight
BA_UnknownDynamic0C,BA_DynSprite_Ranger_MasterKnight
BA_MasterKnight_Bow_Mount,BA_DynSprite_Ranger_MasterKnight
BA_UnknownDynamic0E,BA_DynSprite_Ranger_MasterKnight
BA_UnknownDynamic0F,BA_DynSprite_Ranger_MasterKnight
BA_Paladin_Mount,BA_DynSprite_Paladin
BA_ArchKnight_Mount,BA_DynSprite_ArchKnight
BA_Ranger_Mount,BA_DynSprite_Ranger_MasterKnight
BA_UnknownDynamic13,BA_DynSprite_Unknown14
BA_MageKnight_Mount,BA_DynSprite_MageKnight
BA_GreatKnight_Mount,BA_DynSprite_GreatKnight
BA_Pegasus_Mount,BA_DynSprite_Pegasus_Falcon
BA_Falcon_Mount,BA_DynSprite_Pegasus_Falcon
BA_Dracorider_Mount,BA_DynSprite_Dracorider
BA_Dracoknight_Mount,BA_DynSprite_Dracoknight_Dragonmaster
BA_Dragonmaster_Mount,BA_DynSprite_Dracoknight_Dragonmaster
BA_ArcherM_Body,BA_DynSprite_ArcherM
BA_ArcherF_DismountedBowKnightF_Body,BA_DynSprite_ArcherF_DismountedBowKnightF
BA_MyrmidonM_DismountedSwordKnight_Body,BA_DynSprite_MyrmidonM_DismountedSwordKnight
BA_MyrmidonF_Body,BA_DynSprite_MyrmidonF
BA_SwordmasterM_Body,BA_DynSprite_SwordmasterM
BA_SwordmasterF_Body,BA_DynSprite_SwordmasterF
BA_SniperM_Body,BA_DynSprite_SniperM
BA_SniperF_DismountedArchKnightF_Body,BA_DynSprite_SniperF_DismountedArchKnightF
BA_DismountedRanger_DismountedDracoknightM_HeroFE4M_Body,BA_DynSprite_DismountedRanger_DismountedDracoknightM_HeroFE4M
BA_HeroF_HeroFE4F_Body,BA_DynSprite_HeroF_HeroFE4F
BA_GeneralSwordAxes_Body,BA_DynSprite_GeneralSwordAxes
BA_GeneralLances_Body,BA_DynSprite_GeneralLances
BA_GeneralBow_Body,BA_DynSprite_GeneralBow
BA_EmperorSwordAxesStaffMagic_Body,BA_DynSprite_Emperor_BaronSwordAxesStaffMagic
BA_EmperorLances_Body,BA_DynSprite_Emperor_BaronSwordAxesStaffMagic
BA_EmperorBow_Body,BA_DynSprite_Emperor_BaronSwordAxesStaffMagic
BA_BaronSwordAxesStaffMagic_Body,BA_DynSprite_Emperor_BaronSwordAxesStaffMagic
BA_BaronLances_Body,BA_DynSprite_BaronLances
BA_BaronBow_Body,BA_DynSprite_BaronBow
BA_ArmorSwordAxes_Body,BA_DynSprite_ArmorSwordAxes
BA_ArmorLances_Body,BA_DynSprite_ArmorLances
BA_ArmorBow_Body,BA_DynSprite_ArmorBow
BA_Berserker_Body,BA_DynSprite_Berserker
BA_Brigand_Body,BA_DynSprite_Brigand
BA_BrigandAlt_Body,BA_DynSprite_BrigandAlt_WarrorAxes
BA_WarriorAxes_Body,BA_DynSprite_BrigandAlt_WarrorAxes
BA_WarriorBow_Body,BA_DynSprite_WarriorBow
BA_Hunter_Body,BA_DynSprite_Hunter
BA_PirateAxes_Body,BA_DynSprite_PirateAxes
BA_UnknownDynamic38,BA_DynSprite_DismountedMageKnightM_Sword
BA_DismountedMageKnightM_Sword_Body,BA_DynSprite_DismountedMageKnightM_Sword
BA_DismountedMageKnightM_Magic_Body,BA_DynSprite_DismountedMageKnightM_Magic
BA_Lord_Prince_DismountedLordKnight_Body,BA_DynSprite_Lord_Prince_DismountedLordKnight
BA_DismountedPaladinF_DismountedMasterKnightF_Sword_Body,BA_DynSprite_DismountedPaladinF_DismountedMasterKnightF_Sword
BA_DismountedPaladinF_DismountedMasterKnightF_Staff_Body,BA_DynSprite_DismountedPaladinF_DismountedMasterKnightF_Staff
BA_DismountedMageKnightF_Sword_Body,BA_DynSprite_DismountedMageKnightF_Sword
BA_DismountedMageKnightF_MagicStaff_Body,BA_DynSprite_DismountedMageKnightF_MagicStaff
BA_BaronGlitched_Body,BA_DynSprite_DismountedPaladinF_DismountedMasterKnightF_Sword
BA_Dancer_Body,BA_DynSprite_Dancer
BA_Priest_Body,BA_DynSprite_Priest
BA_Priestess_Body,BA_DynSprite_Priestess
BA_MageM_Body,BA_DynSprite_Mage_LoptrianMageMagic
BA_MageF_Body,BA_DynSprite_Mage_LoptrianMageMagic
BA_LoptrianMageM_Magic_Body,BA_DynSprite_Mage_LoptrianMageMagic
